,number
0,0.314858383162563
1,0.7481225345037565
2,0.45159184964889443
3,0.14402619100220226
4,0.23201263122167892
5,0.3681005541944704
6,0.4384040955789349
7,0.8752238376273396
8,0.6553091666637689
9,0.7545561738954922
10,0.6047179934393971
11,0.910562999521779
12,0.2901619005184195
13,0.4162733477872934
14,0.3508303787932149
15,0.372809126586778
16,0.9017831971694457
17,0.12318695631238463
18,0.44535979416984695
19,0.848450385070505
20,0.8789944237585844
21,0.656775689678285
22,0.9049539492625475
23,0.10051386279403551
24,0.06571307554459538
25,0.9768589785012397
26,0.18588816534552666
27,0.8454015391712523
28,0.9669466145708371
29,0.9428206456966359
30,0.6776660306223522
31,0.8475958350992262
32,0.567216215183266
33,0.407946967084278
34,0.3293079694764116
35,0.9725535357979436
36,0.196798110731079
37,0.47669234494983626
38,0.6675402037606466
39,0.7102425455812715
40,0.2614516747547463
41,0.7872119025898423
42,0.3040768670918642
43,0.9462018781288486
44,0.15461913229870594
45,0.013083712546983817
46,0.8307696613430082
47,0.4614945597484026
48,0.13813194015466257
49,0.7339310407659824
50,0.03898149225451841
51,0.1386513316712482
52,0.41668247650522083
53,0.040062739173468365
54,0.04836728001732604
55,0.7148066999527296
56,0.6990190569529992
57,0.18723770637060466
58,0.7724883067966795
59,0.6124569975789194
60,0.17336833013731412
61,0.010192876141827178
62,0.9350681205206968
63,0.4197642818777717
64,0.7582664351404105
65,0.877083135891204
66,0.760414578126475
67,0.13165057394447155
68,0.8416273962745155
69,0.8555049626670118
70,0.23176036557179747
71,0.5664896442406574
72,0.87899252581987
73,0.7381234665637906
74,0.23667822422346785
75,0.5134720994757145
76,0.3071990156160983
77,0.7860482703326777
78,0.3375186818499818
79,0.3891431087589845
80,0.8459252072154188
81,0.013994317334566131
82,0.9853486977495461
83,0.5277465156830039
84,0.036810434131817504
85,0.7226204447547218
86,0.1686699998483926
87,0.35752810492567333
88,0.044549944064695035
89,0.7722681722200916
90,0.9626689021757179
91,0.8575362979870272
92,0.2501059382932943
93,0.915399076160466
94,0.14789519813207208
95,0.4037407176944312
96,0.5625998593481831
97,0.0043134275893549345
98,0.36709284789290253
99,0.5597955029120228
100,0.7097377908161594
101,0.9015213091116208
102,0.15272649255052573
103,0.12682726119942977
104,0.019872821032716814
105,0.23015856194495887
106,0.2636172403508976
107,0.8285298121811383
108,0.012077377331651262
109,0.10836358522820455
110,0.5104293170757418
111,0.7867589078443301
112,0.10985782238680053
113,0.38218896485885234
114,0.7479939755487915
115,0.8305613863719568
116,0.3616005402368515
117,0.9888127977102633
118,0.6619583952627225
119,0.003788646044239896
120,0.606106856385679
121,0.8900547893206859
122,0.4937813252457033
123,0.3606412467392298
124,0.7294486021398282
125,0.38712094858869583
126,0.7845057880441756
127,0.2871629485958813
128,0.3063192857749564
129,0.9124125154287253
130,0.8130916029759061
131,0.7919303741869154
132,0.5526327671346012
133,0.5843044408650911
134,0.8375573853287055
135,0.7789315492516771
136,0.15250573111483756
137,0.4286323350729516
138,0.5202884889217125
139,0.3092960840639768
140,0.38111225545710026
141,0.721524616408061
142,0.2248162279436835
143,0.32729777551018957
144,0.47180007835884363
145,0.562470324087702
146,0.24519431696564076
147,0.6876283792616172
148,0.8664008729046203
149,0.9243936852647894
150,0.8443506679722924
151,0.20408832138292687
152,0.20937752910849694
153,0.26402277362495996
154,0.169232973461794
155,0.44957943534879274
156,0.48820649671864513
157,0.9241682166459148
158,0.7641015684946841
159,0.8897366473833985
160,0.9601322899477583
161,0.38878316812608993
162,0.2895917926642195
163,0.97582718501777
164,0.10199130619890762
165,0.6124558966364574
166,0.746389262085421
